,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
756,756,Beijing,China,39.9075,116.39723,1450,600000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.026081662999999998,Asia
976,976,Vijayanagar,India,15.335,76.462,1450,455000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.019777281,Asia
1109,1109,Cairo,Egypt,30.06263,31.24967,1450,380000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.016516394,Africa
1465,1465,Hangzhou,China,30.25,120.166667,1450,250000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.010864189,Asia
1466,1466,Tabriz,Iran,38.08,46.2919,1450,250000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.010864189,Asia
1868,1868,Guangzhou,China,23.11667,113.25,1450,175000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.007603301999999999,Asia
1927,1927,Granada,Spain,37.177336,-3.598558,1450,165000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.007168516999999999,Europe
2041,2041,Gauda,India,24.866667,88.133333,1450,150000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.00651634,Asia
2042,2042,Nanjing,China,32.05,118.766667,1450,150000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.00651634,Asia
2043,2043,Paris,France,48.856614,2.352222,1450,150000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.00651634,Europe
2191,2191,Bursa,Turkey,40.19266,29.08403,1450,130000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.00564677,Asia
2257,2257,Seoul,Republic of Korea,37.56826,126.97783,1450,125000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.005429376999999999,Asia
2256,2256,Fez,Morocco,34.033333,-5.01,1450,125000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.005429376999999999,Africa
2299,2299,Suzhou,China,31.3,120.6,1450,121000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.005255463,Asia
2307,2307,Xian,China,34.341485,108.940404,1450,120000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.005211985,Asia
2584,2584,Ayutthaya,Thailand,14.35,100.55,1450,100000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.004342415,Asia
2585,2585,Cuttack,India,20.46497,85.87927,1450,100000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.004342415,Asia
2586,2586,Jaunpur,India,25.75506,82.68361,1450,100000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.004342415,Asia
2587,2587,Venice,Italy,45.440847,12.315514,1450,100000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.004342415,Europe
2874,2874,Edirne,Turkey,41.681808,26.562269,1450,85000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.0036902370000000003,Asia
2924,2924,Milan,Italy,45.465453,9.198786,1450,83000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.00360328,Europe
2941,2941,Fuzhou,China,26.076111,119.306389,1450,82000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.003559802,Asia
3018,3018,Karaman,Turkey,37.18111,33.215,1450,80000,/01/01,1450/01/01, 00:00:00,1450/01/01 00:00:00,0.003472845,Asia
