,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
4645,4645,Qom,Iran,34.6401,50.8764,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4644,4644,Mosul,Iraq,36.335,43.11889,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4643,4643,Luoyang,China,34.669722,112.442222,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4642,4642,Kush,Egypt,18.53,31.84,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Africa
4646,4646,Rabat,Morocco,34.01325,-6.83255,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Africa
4640,4640,Jingdezhen,China,29.268836,117.17842,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4639,4639,Fuzhou,China,26.076111,119.306389,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4638,4638,Firuzkoh,Afghanistan,34.099578,64.905956,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4637,4637,Cologne,Germany,50.937531,6.960278,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Europe
4636,4636,Cambay,India,22.313114,72.619408,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4635,4635,Bejaia,Algeria,36.75,5.066667,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Africa
4634,4634,Basra,Iraq,30.5,47.816667,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Asia
4633,4633,Alexandria,Egypt,31.200092,29.918739,1200,50000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00216849,Africa
5031,5031,Balasaghun,Kyrgyzstan,42.379739,75.250456,1200,47000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.002038055,Asia
5032,5032,Xiangyang,China,32.017,112.133,1200,47000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.002038055,Asia
5071,5071,Chengdu,China,30.66667,104.06667,1200,46000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001994576,Asia
5142,5142,Aleppo,Syria,36.216667,37.166667,1200,45000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0019510979999999999,Asia
5143,5143,Sivas,Turkey,39.74833,37.01611,1200,45000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0019510979999999999,Asia
5277,5277,Herat,Afghanistan,34.34817,62.19967,1200,44000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001907619,Asia
5563,5563,Acre,Israel,32.927778,35.081667,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Asia
5564,5564,Ceuta,Spain,35.88933,-5.31979,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Europe
5565,5565,Kayseri,Turkey,38.73222,35.48528,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Asia
5566,5566,Kish,Iran,32.55217989,44.5856425,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Asia
5567,5567,Leon,Spain,42.605556,-5.57,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Europe
5568,5568,London,United Kingdom,51.511214,-0.119825,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Europe
5569,5569,Rouen,France,49.44313,1.09932,1200,40000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001733705,Europe
6132,6132,Rome,Italy,41.89474,12.4839,1200,35000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0015163129999999998,Europe
