,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
624,624,Istanbul,Turkey,41.005275,28.976944,1700,700000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.030429513,Asia
650,650,Tokyo,Japan,35.6895,139.69171,1700,688000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.029907771,Asia
690,690,Beijing,China,39.9075,116.39723,1700,650000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.028255587999999998,Asia
831,831,London,United Kingdom,51.511214,-0.119825,1700,550000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.023907739,Europe
863,863,Paris,France,48.856614,2.352222,1700,530000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.023038169,Europe
1097,1097,Ahmedabad,India,23.039568,72.566004,1700,385000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.016733787,Asia
1110,1110,Osaka,Japan,34.693216,135.502082,1700,380000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.016516394,Asia
1163,1163,Kyoto,Japan,35.02107,135.75385,1700,350000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.015212038999999998,Asia
1162,1162,Esfahan,Iran,32.651389,51.679192,1700,350000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.015212038999999998,Asia
1262,1262,Hangzhou,China,30.25,120.166667,1700,303000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.01316855,Asia
1656,1656,Amsterdam,Netherlands,52.37403,4.88969,1700,210000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.00912505,Europe
1680,1680,Naples,Italy,40.851775,14.268122,1700,207000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.008994614,Europe
1748,1748,Aurangabad,India,19.876165,75.343314,1700,200000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.008690265,Asia
1749,1749,Guangzhou,China,23.11667,113.25,1700,200000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.008690265,Asia
1808,1808,Lisbon,Portugal,38.71667,-9.13333,1700,188000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.008168523,Europe
1871,1871,Cairo,Egypt,30.06263,31.24967,1700,175000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.007603301999999999,Africa
1920,1920,Xian,China,34.341485,108.940404,1700,167000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.0072554740000000005,Asia
1975,1975,Seoul,Republic of Korea,37.56826,126.97783,1700,158000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.006864168,Asia
2059,2059,Ayutthaya,Thailand,14.35,100.55,1700,150000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.00651634,Asia
2060,2060,Dhaka,India,23.709921,90.407143,1700,150000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.00651634,Asia
2102,2102,Venice,Italy,45.440847,12.315514,1700,144000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.0062554690000000005,Europe
2124,2124,Nanjing,China,32.05,118.766667,1700,140000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.006081555,Asia
2125,2125,Suzhou,China,31.3,120.6,1700,140000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.006081555,Asia
2136,2136,Rome,Italy,41.89474,12.4839,1700,138000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.005994598,Europe
