New York,United States of America,40.714353,-74.005972,1950,12463
London,United Kingdom,51.511214,-0.119825,1950,8860
Tokyo,Japan,35.6895,139.69171,1950,7000
Paris,France,48.856614,2.352222,1950,5900
Shanghai,China,31.22222,121.45806,1950,5406
Moscow,Russian Federation,55.75222,37.61556,1950,5100
Buenos Aires,Argentina,-34.61315,-58.37723,1950,5000
Chicago,United States of America,41.85003,-87.65005,1950,4906
Ruhr,Germany,51.407415,6.862626,1950,4900
Calcutta,India,22.56263,88.36304,1950,4800
